family,condition,seed,n_agents,max_steps,active_targets,food_source_capacity,n_obstacles,pheromone_enabled,checkpoint_dir,food_picked_up,food_delivered,delivery_conversion,early_deliveries,late_deliveries,late_delivery_fraction,post_discovery_deliveries,time_to_first_discovery,time_to_first_delivery,pickup_to_delivery_latency,exploration_coverage,pheromone_usage,episode_length
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,104,3,1600,1,18,4,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.13559322033898305,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,105,3,1600,1,18,4,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.12415254237288136,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,106,3,1600,1,18,4,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.12542372881355932,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,107,3,1600,1,18,4,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.11059322033898306,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,108,3,1600,1,18,4,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.11567796610169491,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,109,3,1600,1,18,4,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.12542372881355932,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,110,3,1600,1,18,4,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.1152542372881356,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,111,3,1600,1,18,4,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.10932203389830508,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,112,3,1600,1,18,4,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.11864406779661017,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,113,3,1600,1,18,4,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.1135593220338983,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,114,3,1600,1,18,4,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.11864406779661017,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,115,3,1600,1,18,4,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.12161016949152542,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,116,3,1600,1,18,4,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.11101694915254237,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,117,3,1600,1,18,4,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.12245762711864407,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,118,3,1600,1,18,4,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.10338983050847457,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_with_pheromone,119,3,1600,1,18,4,True,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.1173728813559322,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_without_pheromone,100,3,1600,1,18,4,False,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.10889830508474577,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_without_pheromone,101,3,1600,1,18,4,False,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.13898305084745763,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_without_pheromone,102,3,1600,1,18,4,False,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.14533898305084747,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_without_pheromone,103,3,1600,1,18,4,False,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.10932203389830508,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_without_pheromone,104,3,1600,1,18,4,False,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.13559322033898305,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_without_pheromone,105,3,1600,1,18,4,False,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.12415254237288136,0.0,1600
chokepoint_route_reuse_hypothesis_max_10,trained_with_pheromone__eval_without_pheromone,106,3,1600,1,18,4,False,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.12542372881355932,0.0,1600
