stage,stage_index,stage_attempt,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,food_source_respawns,food_units_remaining,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,delivery_conversion,carrying_stall_events,carrying_stall_fraction,carrying_low_progress_fraction,carrying_low_displacement_fraction,carrying_penalty_total,non_carrying_nest_loiter_fraction,non_carrying_nest_crowding_fraction,non_carrying_nest_penalty_total,non_carrying_explore_active_fraction,non_carrying_outward_reward_total,non_carrying_idle_near_nest_fraction,non_carrying_idle_near_nest_penalty_total,non_carrying_force_explore_fraction,non_carrying_force_explore_overrides,non_carrying_random_explore_fraction,non_carrying_random_explore_overrides,post_delivery_active_fraction,post_delivery_outward_reward,post_delivery_loiter_penalty_total,swarm_efficiency
stage1a_single_agent_miniscule,1,1,184,11,1,50,50,1,0,191.26638793945312,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,13,7,7,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077
stage1a_single_agent_miniscule,1,1,203,12,1,50,50,1,0,190.9838104248047,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,19,14,14,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367
stage1a_single_agent_miniscule,1,1,223,13,1,50,50,1,0,190.76231384277344,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,20,17,17,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
stage1a_single_agent_miniscule,1,1,237,14,1,50,50,1,0,190.9866485595703,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,14,10,10,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
stage1a_single_agent_miniscule,1,1,241,15,1,50,50,1,0,191.49009704589844,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stage1a_single_agent_miniscule,1,1,260,16,1,50,50,1,0,191.5770721435547,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,19,16,16,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367
stage1a_single_agent_miniscule,1,1,276,17,1,50,50,1,0,191.3067169189453,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,16,13,13,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
stage1a_single_agent_miniscule,1,1,280,18,1,50,50,1,0,191.49200439453125,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stage1a_single_agent_miniscule,1,1,295,19,1,50,50,1,0,190.7524871826172,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,15,12,12,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666
stage1a_single_agent_miniscule,1,1,315,20,1,50,50,1,0,190.54856872558594,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,20,17,17,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
stage1a_single_agent_miniscule,1,1,330,21,1,50,50,1,0,191.03102111816406,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,15,10,10,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666
stage1a_single_agent_miniscule,1,1,342,22,1,50,50,1,0,191.26600646972656,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,12,9,9,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
stage1a_single_agent_miniscule,1,1,346,23,1,50,50,1,0,191.49200439453125,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stage1a_single_agent_miniscule,1,1,355,24,1,50,50,1,0,191.28565979003906,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,9,6,6,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444
stage1a_single_agent_miniscule,1,1,372,25,1,50,50,1,0,191.0345458984375,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,17,14,14,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882
stage1a_single_agent_miniscule,1,1,403,26,1,50,50,1,0,190.5299530029297,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,31,13,13,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613
stage1a_single_agent_miniscule,1,1,416,27,1,50,50,1,0,191.2584686279297,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,13,10,10,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077
stage1a_single_agent_miniscule,1,1,420,28,1,50,50,1,0,191.49200439453125,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stage1a_single_agent_miniscule,1,1,435,29,1,50,50,1,0,191.8046417236328,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,15,12,12,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666
stage1a_single_agent_miniscule,1,1,439,30,1,50,50,1,0,191.49200439453125,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stage1a_single_agent_miniscule,1,1,481,31,1,50,50,1,0,190.0245361328125,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,42,11,11,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523
stage1a_single_agent_miniscule,1,1,499,32,1,50,50,1,0,191.0182647705078,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,18,15,15,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222
stage1a_single_agent_miniscule,1,1,516,33,1,50,50,1,0,190.47727966308594,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,17,13,13,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882
stage1a_single_agent_miniscule,1,1,532,34,1,50,50,1,0,190.7339324951172,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,16,11,11,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
stage1a_single_agent_miniscule,1,1,541,35,1,50,50,1,0,191.5354766845703,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,9,6,6,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444
stage1a_single_agent_miniscule,1,1,557,36,1,50,50,1,0,191.03720092773438,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,16,12,12,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
stage1a_single_agent_miniscule,1,1,574,37,1,50,50,1,0,190.74942016601562,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,17,13,13,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882
stage1a_single_agent_miniscule,1,1,594,38,1,50,50,1,0,189.9720916748047,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,20,16,16,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
stage1a_single_agent_miniscule,1,1,611,39,1,50,50,1,0,191.29730224609375,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,17,11,11,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882
stage1a_single_agent_miniscule,1,1,645,40,1,50,50,1,0,190.54156494140625,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,34,11,11,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941
stage1a_single_agent_miniscule,1,1,661,41,1,50,50,1,0,191.21868896484375,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,16,12,12,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
stage1a_single_agent_miniscule,1,1,675,42,1,50,50,1,0,191.50779724121094,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,14,11,11,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
stage1a_single_agent_miniscule,1,1,679,43,1,50,50,1,0,191.49200439453125,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stage1a_single_agent_miniscule,1,1,711,44,1,50,50,1,0,190.58470153808594,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,32,10,10,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
stage1a_single_agent_miniscule,1,1,725,45,1,50,50,1,0,191.01431274414062,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,14,8,8,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
stage1a_single_agent_miniscule,1,1,737,46,1,50,50,1,0,191.26600646972656,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,12,9,9,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
stage1a_single_agent_miniscule,1,1,754,47,1,50,50,1,0,191.0345001220703,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,17,14,14,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882
stage1a_single_agent_miniscule,1,1,770,48,1,50,50,1,0,190.75108337402344,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,16,13,13,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
stage1a_single_agent_miniscule,1,1,790,49,1,50,50,1,0,190.7892608642578,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,20,13,13,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
stage1a_single_agent_miniscule,1,1,820,50,1,50,50,1,0,191.30638122558594,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,30,5,5,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
stage1a_single_agent_miniscule,1,1,833,51,1,50,50,1,0,190.98960876464844,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,13,9,9,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077
stage1a_single_agent_miniscule,1,1,850,52,1,50,50,1,0,191.2945556640625,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,17,13,13,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882
stage1a_single_agent_miniscule,1,1,854,53,1,50,50,1,0,191.4901580810547,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stage1a_single_agent_miniscule,1,1,867,54,1,50,50,1,0,190.72523498535156,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,13,10,10,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077
stage1a_single_agent_miniscule,1,1,881,55,1,50,50,1,0,191.52488708496094,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,14,10,10,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
stage1a_single_agent_miniscule,1,1,893,56,1,50,50,1,0,191.26600646972656,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,12,9,9,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
stage1a_single_agent_miniscule,1,1,907,57,1,50,50,1,0,190.7387237548828,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,14,11,11,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
stage1a_single_agent_miniscule,1,1,918,58,1,50,50,1,0,191.2580108642578,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,11,8,8,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365
stage1a_single_agent_miniscule,1,1,931,59,1,50,50,1,0,191.27723693847656,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,13,9,9,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077
stage1a_single_agent_miniscule,1,1,962,60,1,50,50,1,0,189.48696899414062,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,31,27,27,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613
stage1a_single_agent_miniscule,1,1,973,61,1,50,50,1,0,191.5080108642578,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,11,8,8,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365
stage1a_single_agent_miniscule,1,1,1024,62,1,50,50,1,0,189.29237365722656,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,51,48,48,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784313725490196
stage1a_single_agent_miniscule,1,1,1037,63,1,50,50,1,0,191.0270233154297,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,13,10,10,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077
stage1a_single_agent_miniscule,1,1,1052,64,1,50,50,1,0,191.79876708984375,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,15,12,12,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666
stage1a_single_agent_miniscule,1,1,1079,65,1,50,50,1,0,190.51510620117188,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,27,5,5,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14814814814814814
stage1a_single_agent_miniscule,1,1,1103,66,1,50,50,1,0,190.51686096191406,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,24,21,21,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
stage1a_single_agent_miniscule,1,1,1125,67,1,50,50,1,0,191.58175659179688,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,22,15,15,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182
stage1a_single_agent_miniscule,1,1,1140,68,1,50,50,1,0,191.4922332763672,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,15,5,5,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666
stage1a_single_agent_miniscule,1,1,1173,69,1,50,50,1,0,189.74945068359375,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,33,29,29,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12121212121212122
stage1a_single_agent_miniscule,1,1,1192,70,1,50,50,1,0,191.2601776123047,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,19,16,16,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367
stage1a_single_agent_miniscule,1,1,1207,71,1,50,50,1,0,191.78492736816406,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,15,12,12,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666
stage1a_single_agent_miniscule,1,1,1222,72,1,50,50,1,0,191.26705932617188,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,15,7,7,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666
stage1a_single_agent_miniscule,1,1,1239,73,1,50,50,1,0,191.25271606445312,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,17,14,14,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882
stage1a_single_agent_miniscule,1,1,1243,74,1,50,50,1,0,191.49200439453125,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
stage1a_single_agent_miniscule,1,1,1258,75,1,50,50,1,0,191.2904815673828,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,15,11,11,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666
stage1a_single_agent_miniscule,1,1,1275,76,1,50,50,1,0,191.0038604736328,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,17,13,13,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882
stage1a_single_agent_miniscule,1,1,1284,77,1,50,50,1,0,192.02435302734375,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,9,5,5,0,1.0,0,0.0,0.1111111111111111,0.0,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444
stage1a_single_agent_miniscule,1,1,1298,78,1,50,50,1,0,191.31201171875,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,14,9,9,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
stage1a_single_agent_miniscule,1,1,1307,79,1,50,50,1,0,191.51461791992188,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,9,6,6,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444
